,title,link
0,Hacked! Unravelling a data breach,https://blog.mozilla.org/en/internet-culture/hacked-unravelling-a-data-breach/
1,HTTPS and your online security,https://blog.mozilla.org/en/products/firefox/https-protect/
2,News from Firefox Focus and Firefox on Mobile,https://blog.mozilla.org/en/mozilla/news/news-from-firefox-focus-and-firefox-on-mobile/
3,Do you need a VPN at home? Here are 5 reasons you might.,https://blog.mozilla.org/en/products/mozilla-vpn/do-you-need-a-vpn-at-home-here-are-5-reasons-you-might/
4,"Miracle Whip, Finstas, #InternationalPodcastDay, and #FreeBritney all made the Top Shelf this week",https://blog.mozilla.org/en/internet-culture/best-tweets-miracle-whip-finstas-internationalpodcastday-freebritney-oct-1/
5,Analysis of  Google’s Privacy Budget Proposal,https://blog.mozilla.org/en/mozilla/google-privacy-budget-analysis/
6,Superhero passwords may be your kryptonite wherever you go online,https://blog.mozilla.org/en/mozilla/news/superhero-passwords-may-be-your-kryptonite-wherever-you-go-online/
7,Location history: How your location is tracked and how you can limit sharing it,https://blog.mozilla.org/en/internet-culture/mozilla-explains/location-history/
8,Did you hear about Apple’s security vulnerability? Here’s how to find and remove spyware.,https://blog.mozilla.org/en/internet-culture/mozilla-explains/find-and-remove-spyware/
9,The Great Resignation: New gig? Here are 7 tips to ensure success,https://blog.mozilla.org/en/products/firefox/the-great-resignation-new-job-tips/
10,Mozilla VPN adds advanced privacy features: Custom DNS servers and Multi-hop,https://blog.mozilla.org/en/mozilla/mozilla-vpn-adds-advanced-privacy-features-custom-dns-servers-and-multi-hop/
11,"Get where you’re going faster, with Firefox Suggest",https://blog.mozilla.org/en/products/firefox/firefox-news/firefox-suggest/
12,"Matrix 4, Blue’s Clues, #StarTrekDay and More — Everything That’s Old is New Again in This Week’s Top Shelf",https://blog.mozilla.org/en/internet-culture/best-tweets-matrix-blues-clues-september-10th/
13,Feel good when you get online with Firefox,https://blog.mozilla.org/en/videos/feel-good-when-you-get-online-with-firefox/
14,Did internet friends fill the gaps left by social distance?,https://blog.mozilla.org/en/internet-culture/internet-friends-during-pandemic-online/
15,"Doomscrolling, ads in texting, Theranos NOT Thanos, and more are the tweets on this week’s #TopShelf",https://blog.mozilla.org/en/internet-culture/best-tweets-sept-3-doomscrolling-theranos/
16,Mozilla VPN Completes Independent Security Audit by Cure53,https://blog.mozilla.org/en/mozilla/news/mozilla-vpn-completes-independent-security-audit-by-cure53/
17,Why are hyperlinks blue?,https://blog.mozilla.org/en/internet-culture/deep-dives/why-are-hyperlinks-blue/
18,How to enable text-to-speech in Pocket,https://blog.mozilla.org/en/videos/how-to-enable-text-to-speech-in-pocket/
